material,first_rdf_peak
BFDPB@CN6-CP_0.26,4.106583072100313
TPD@F4TCNQ_0.07,4.169278996865203
NPB@CN6-CP_0.26,4.294670846394984
CBP@CN6-CP_0.2,4.106583072100313
TCTA@F6TCNNQ_0.11,5.485893416927899
TCTA@CN6-CP_0.26,4.608150470219435
BPAPF@CN6-CP_0.26,5.297805642633229
MeO-TPD@F4TCNQ_0.07,4.482758620689655
m-MTDATA@F4TCNQ_0.07,4.984326018808777
