material,host,dopant,mol%,host_uuid,dopant_uuid,IP,EA
CBP@CN6-CP_0.05,CBP,CN6-CP,0.05,4c32a0a4f1938ddc47bf6ad0b748658e,7bcea01794773fc317d8fb5a8ea7c275,6.545674580714721,5.436722597783307
MeO-TPD@F6TCNNQ_0.05,MeO-TPD,F6TCNNQ,0.05,4529a482b1db6a18c5e584c8b0362ff7,69b6a5a2aca38ba2f734a6724ea30826,5.620733757643147,4.679927614109062
BFDPB@F6TCNNQ_0.05,BFDPB,F6TCNNQ,0.05,695799182ba3f3c9bd28a9aeb6a76a96,69b6a5a2aca38ba2f734a6724ea30826,5.848845367196979,4.695292032604859
TCTA@CN6-CP_0.08,TCTA,CN6-CP,0.08,85c3a3ab062b03030c19959e00caa036,7bcea01794773fc317d8fb5a8ea7c275,6.222915956299531,5.397891167256472
MeO-TPD@F4TCNQ_0.07,MeO-TPD,F4TCNQ,0.07,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,5.685146975827362,4.725137624878461
m-MTDATA@F4TCNQ_0.07,m-MTDATA,F4TCNQ,0.07,5dee5b9496ddfc5006490595142aea3a,ac85c387eec36b98aaab7138b62a8b88,5.541106943399816,4.5835094584813625
TCTA@F6TCNNQ_0.11,TCTA,F6TCNNQ,0.11,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,6.200094105170336,4.78143423203989
TPD@F4TCNQ_0.07,TPD,F4TCNQ,0.07,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,5.936443589545323,4.5629096450637725
