material,host,dopant,mol%,host_uuid,dopant_uuid,IP,EA,offset
CBP@CN6-CP_0.05,CBP,CN6-CP,0.05,4c32a0a4f1938ddc47bf6ad0b748658e,7bcea01794773fc317d8fb5a8ea7c275,6.478743380719269,5.4941928977816925,0.9845504829375766
MeO-TPD@F6TCNNQ_0.05,MeO-TPD,F6TCNNQ,0.05,4529a482b1db6a18c5e584c8b0362ff7,69b6a5a2aca38ba2f734a6724ea30826,5.516739057647764,4.802482914113086,0.7142561435346781
BFDPB@F6TCNNQ_0.05,BFDPB,F6TCNNQ,0.05,695799182ba3f3c9bd28a9aeb6a76a96,69b6a5a2aca38ba2f734a6724ea30826,5.752634367193302,4.817847332608882,0.9347870345844198
TCTA@CN6-CP_0.08,TCTA,CN6-CP,0.08,85c3a3ab062b03030c19959e00caa036,7bcea01794773fc317d8fb5a8ea7c275,6.09008855630249,5.455361467254858,0.6347270890476322
MeO-TPD@F4TCNQ_0.07,MeO-TPD,F4TCNQ,0.07,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,5.581152275831979,4.864096624878347,0.7170556509536317
m-MTDATA@F4TCNQ_0.07,m-MTDATA,F4TCNQ,0.07,5dee5b9496ddfc5006490595142aea3a,ac85c387eec36b98aaab7138b62a8b88,5.334681343398577,4.722468458481249,0.6122128849173283
TCTA@F6TCNNQ_0.11,TCTA,F6TCNNQ,0.11,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,6.067266705173296,4.903989532043914,1.1632771731293818
TPD@F4TCNQ_0.07,TPD,F4TCNQ,0.07,7b043a1428ff586ba119947b48219969,ac85c387eec36b98aaab7138b62a8b88,5.791700689548978,4.701868645063659,1.0898320444853198
