Compound,Charging State,Reorganization Energy
CN6-CP,EA,0.0574702999983856
F4TCNQ,EA,0.13895899999988615
F6TCNNQ,EA,0.12255530000402359
TCNQ,EA,0.13528040000164765
BFDPB,IP,0.09621100000367733
BPAPF,IP,0.029879399997298606
CBP,IP,0.0669311999954516
MeO-TPD,IP,0.10399469999538269
m-MTDATA,IP,0.20642560000123922
NPB,IP,0.14575779999722727
TCTA,IP,0.13282739999704063
TPD,IP,0.14474289999634493
ZnPc,IP,0.018682199995964766
