material,homo_disorder,lumo_disorder
BPAPF@CN6-CP_0.26,0.07061405648498163,0.1028648344714156
TPD@F4TCNQ_0.07,0.10973490283353729,0.1222640403325655
NPB@TCNQ_0.07,0.11479396407703339,0.0891376188814896
MeO-TPD@F4TCNQ_0.07,0.15377707450061243,0.14964398945212512
BFDPB@CN6-CP_0.26,0.11305353783386493,0.10373369354290718
TCTA@CN6-CP_0.26,0.12119394405676316,0.13399789951908386
NPB@CN6-CP_0.26,0.11408148428400361,0.09922878256914869
TCTA@F6TCNNQ_0.11,0.10851326809542423,0.12637217591364633
CBP@CN6-CP_0.2,0.12049781247889743,0.1562185932663644
m-MTDATA@F4TCNQ_0.07,0.1276364736379776,0.07228546659845558
